MTU,Out Area,In Area,Physical Flow (MW)
03/01/2022 17:00:00 - 03/01/2022 18:00:00,BZN|FR,BZN|GB(IFA2),993.00
03/01/2022 17:00:00 - 03/01/2022 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2022 18:00:00 - 03/01/2022 19:00:00,BZN|FR,BZN|GB(IFA2),664.00
03/01/2022 18:00:00 - 03/01/2022 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2022 19:00:00 - 03/01/2022 20:00:00,BZN|FR,BZN|GB(IFA2),918.00
03/01/2022 19:00:00 - 03/01/2022 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2022 20:00:00 - 03/01/2022 21:00:00,BZN|FR,BZN|GB(IFA2),1018.00
03/01/2022 20:00:00 - 03/01/2022 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2022 21:00:00 - 03/01/2022 22:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2022 21:00:00 - 03/01/2022 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2022 22:00:00 - 03/01/2022 23:00:00,BZN|FR,BZN|GB(IFA2),946.00
03/01/2022 22:00:00 - 03/01/2022 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2022 23:00:00 - 04/01/2022 00:00:00,BZN|FR,BZN|GB(IFA2),868.00
03/01/2022 23:00:00 - 04/01/2022 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 00:00:00 - 04/01/2022 01:00:00,BZN|FR,BZN|GB(IFA2),675.00
04/01/2022 00:00:00 - 04/01/2022 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 01:00:00 - 04/01/2022 02:00:00,BZN|FR,BZN|GB(IFA2),648.00
04/01/2022 01:00:00 - 04/01/2022 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 02:00:00 - 04/01/2022 03:00:00,BZN|FR,BZN|GB(IFA2),842.00
04/01/2022 02:00:00 - 04/01/2022 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 03:00:00 - 04/01/2022 04:00:00,BZN|FR,BZN|GB(IFA2),724.00
04/01/2022 03:00:00 - 04/01/2022 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 04:00:00 - 04/01/2022 05:00:00,BZN|FR,BZN|GB(IFA2),360.00
04/01/2022 04:00:00 - 04/01/2022 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 05:00:00 - 04/01/2022 06:00:00,BZN|FR,BZN|GB(IFA2),186.00
04/01/2022 05:00:00 - 04/01/2022 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 06:00:00 - 04/01/2022 07:00:00,BZN|FR,BZN|GB(IFA2),446.00
04/01/2022 06:00:00 - 04/01/2022 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 07:00:00 - 04/01/2022 08:00:00,BZN|FR,BZN|GB(IFA2),750.00
04/01/2022 07:00:00 - 04/01/2022 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 08:00:00 - 04/01/2022 09:00:00,BZN|FR,BZN|GB(IFA2),459.00
04/01/2022 08:00:00 - 04/01/2022 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 09:00:00 - 04/01/2022 10:00:00,BZN|FR,BZN|GB(IFA2),523.00
04/01/2022 09:00:00 - 04/01/2022 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 10:00:00 - 04/01/2022 11:00:00,BZN|FR,BZN|GB(IFA2),615.00
04/01/2022 10:00:00 - 04/01/2022 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 11:00:00 - 04/01/2022 12:00:00,BZN|FR,BZN|GB(IFA2),765.00
04/01/2022 11:00:00 - 04/01/2022 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 12:00:00 - 04/01/2022 13:00:00,BZN|FR,BZN|GB(IFA2),723.00
04/01/2022 12:00:00 - 04/01/2022 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 13:00:00 - 04/01/2022 14:00:00,BZN|FR,BZN|GB(IFA2),847.00
04/01/2022 13:00:00 - 04/01/2022 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 14:00:00 - 04/01/2022 15:00:00,BZN|FR,BZN|GB(IFA2),784.00
04/01/2022 14:00:00 - 04/01/2022 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 15:00:00 - 04/01/2022 16:00:00,BZN|FR,BZN|GB(IFA2),532.00
04/01/2022 15:00:00 - 04/01/2022 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 16:00:00 - 04/01/2022 17:00:00,BZN|FR,BZN|GB(IFA2),1012.00
04/01/2022 16:00:00 - 04/01/2022 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 17:00:00 - 04/01/2022 18:00:00,BZN|FR,BZN|GB(IFA2),1018.00
04/01/2022 17:00:00 - 04/01/2022 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 18:00:00 - 04/01/2022 19:00:00,BZN|FR,BZN|GB(IFA2),683.00
04/01/2022 18:00:00 - 04/01/2022 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 19:00:00 - 04/01/2022 20:00:00,BZN|FR,BZN|GB(IFA2),1016.00
04/01/2022 19:00:00 - 04/01/2022 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 20:00:00 - 04/01/2022 21:00:00,BZN|FR,BZN|GB(IFA2),1021.00
04/01/2022 20:00:00 - 04/01/2022 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 21:00:00 - 04/01/2022 22:00:00,BZN|FR,BZN|GB(IFA2),828.00
04/01/2022 21:00:00 - 04/01/2022 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 22:00:00 - 04/01/2022 23:00:00,BZN|FR,BZN|GB(IFA2),639.00
04/01/2022 22:00:00 - 04/01/2022 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2022 23:00:00 - 05/01/2022 00:00:00,BZN|FR,BZN|GB(IFA2),296.00
04/01/2022 23:00:00 - 05/01/2022 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 00:00:00 - 05/01/2022 01:00:00,BZN|FR,BZN|GB(IFA2),253.00
05/01/2022 00:00:00 - 05/01/2022 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 01:00:00 - 05/01/2022 02:00:00,BZN|FR,BZN|GB(IFA2),774.00
05/01/2022 01:00:00 - 05/01/2022 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 02:00:00 - 05/01/2022 03:00:00,BZN|FR,BZN|GB(IFA2),543.00
05/01/2022 02:00:00 - 05/01/2022 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 03:00:00 - 05/01/2022 04:00:00,BZN|FR,BZN|GB(IFA2),401.00
05/01/2022 03:00:00 - 05/01/2022 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 04:00:00 - 05/01/2022 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
05/01/2022 04:00:00 - 05/01/2022 05:00:00,BZN|GB(IFA2),BZN|FR,279.00
05/01/2022 05:00:00 - 05/01/2022 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
05/01/2022 05:00:00 - 05/01/2022 06:00:00,BZN|GB(IFA2),BZN|FR,2.00
